Impedance values for 480 frequencies
Frequency(Hz)   Magnitude(ohm)    Phase(deg)  
2854.424  17.543  35.193
2895.887  17.413  35.726
2937.951  17.436  36.865
2980.627  17.566  37.766
3023.923  17.840  38.240
3067.847  18.111  38.641
3112.410  18.301  38.703
3157.620  18.538  39.146
3203.487  18.851  39.273
3250.019  18.985  38.885
3297.228  19.168  39.134
3345.123  19.408  39.016
3393.713  19.448  38.678
3443.009  19.689  38.971
3493.021  19.736  38.121
3543.760  19.542  38.738
3595.235  19.737  39.685
3647.458  20.027  39.866
3700.440  20.336  40.304
3754.192  20.774  40.287
3808.724  21.323  39.336
3864.048  21.223  37.639
3920.176  20.793  37.617
3977.119  20.947  38.150
4034.890  20.945  38.099
4093.499  21.014  38.392
4152.960  21.155  38.181
4213.285  21.088  38.319
4274.485  21.109  38.349
4336.576  20.977  38.963
4399.567  21.250  39.494
4463.474  21.255  39.266
4528.309  21.185  39.964
4594.086  21.353  40.887
4660.818  21.595  41.680
4728.520  22.069  42.238
4797.205  22.550  41.968
4866.887  22.712  41.291
4937.582  22.796  41.303
5009.304  22.844  41.334
5082.067  23.018  41.571
5155.888  23.226  41.639
5230.781  23.470  41.267
5306.762  23.476  40.943
5383.846  23.270  40.967
5462.050  23.398  41.868
5541.390  23.520  42.096
5621.883  23.584  42.413
5703.544  23.771  42.988
5786.392  24.055  43.430
5870.443  24.310  43.553
5955.716  24.518  43.541
6042.227  24.664  43.700
6129.994  24.874  44.095
6219.037  25.106  44.357
6309.372  25.336  44.619
6401.021  25.597  44.737
6494.000  25.816  44.827
6588.329  26.056  45.071
6684.029  26.347  45.152
6781.120  26.595  45.191
6879.620  26.797  45.334
6979.551  27.064  45.423
7080.934  27.258  45.402
7183.790  27.487  45.601
7288.139  27.716  45.659
7394.004  28.010  45.782
7501.407  28.245  45.859
7610.370  28.453  45.931
7720.916  28.701  45.966
7833.067  28.974  46.152
7946.848  29.184  46.171
8062.282  29.384  46.227
8179.392  29.669  46.336
8298.203  29.901  46.472
8418.740  30.165  46.613
8541.028  30.397  46.712
8665.093  30.691  46.602
8790.959  30.939  46.701
8918.654  31.198  46.918
9048.203  31.560  47.030
9179.635  31.839  46.994
9312.976  32.116  47.028
9448.253  32.400  47.057
9585.495  32.603  47.033
9724.730  32.923  47.151
9865.989  33.143  47.156
10009.300  33.396  47.222
10154.691  33.676  47.309
10302.195  33.917  47.446
10451.842  34.227  47.526
10603.662  34.458  47.564
10757.688  34.760  47.650
10913.950  35.070  47.675
11072.483  35.364  47.778
11233.318  35.683  47.810
11396.490  35.944  47.860
11562.032  36.298  47.984
11729.979  36.604  48.046
11900.364  36.909  48.092
12073.226  37.262  48.157
12248.598  37.589  48.178
12426.517  37.948  48.284
12607.021  38.244  48.279
12790.146  38.594  48.296
12975.932  38.920  48.390
13164.416  39.293  48.449
13355.639  39.618  48.438
13549.639  39.949  48.486
13746.456  40.324  48.494
13946.133  40.705  48.538
14148.710  41.003  48.527
14354.229  41.426  48.598
14562.734  41.814  48.602
14774.269  42.209  48.649
14988.875  42.570  48.530
15206.599  42.978  48.440
15427.485  43.286  48.438
15651.580  43.679  48.348
15878.930  43.954  48.318
16109.582  44.245  48.297
16343.585  44.577  48.394
16580.986  44.907  48.370
16821.838  45.290  48.473
17066.186  45.618  48.509
17314.084  45.967  48.591
17565.582  46.348  48.576
17820.734  46.706  48.683
18079.594  47.084  48.681
18342.213  47.507  48.743
18608.645  47.913  48.808
18878.949  48.285  48.803
19153.178  48.722  48.837
19431.391  49.152  48.836
19713.646  49.566  48.917
20000.000  49.586  48.609
