Impedance values for 480 frequencies
Frequency(Hz)   Magnitude(ohm)    Phase(deg)  
16821.838  27.964  10.451
17066.186  28.002  10.371
17314.084  28.032  10.292
17565.582  28.067  10.199
17820.734  28.094  10.114
18079.594  28.132  10.025
18342.213  28.158  9.954
18608.645  28.189  9.869
18878.949  28.209  9.785
19153.178  28.255  9.719
19431.391  28.272  9.642
19713.646  28.300  9.559
20000.000  28.343  9.587
